Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
59,Tiffany Leggett,502,F35-39,USA,00:34:18,00:04:10,00:03:19,17:45:03,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
60,Stacy Holcombe,1065,F35-39,USA,00:30:05,00:04:18,00:04:44,17:45:02,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
32,Jacqueline Cook,834,F25-29,USA,00:29:25,00:03:25,00:03:41,17:45:00,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
123,Michael Meier,2135,M30-34,USA,00:29:06,00:04:08,00:03:41,17:44:58,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
19,Mike Luebeck,3564,M60-64,USA,00:38:31,00:04:52,00:03:31,17:44:58,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
55,Kimberly White,1572,F45-49,USA,00:31:55,00:07:14,00:05:42,17:44:56,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
24,Team Plower Rangers,4043,RELAY,USA,00:27:04,00:03:27,00:01:58,17:44:54,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
60,Sara Maltby,1246,F40-44,USA,00:41:30,00:08:20,00:05:00,17:44:51,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
157,Michael McPhail,2986,M45-49,USA,00:34:10,00:05:45,00:04:33,17:44:47,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
136,Joseph Del Valle,2255,M35-39,USA,00:34:43,00:05:49,00:03:14,17:44:47,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
179,Camilo Restrepo Restrepo,2694,M40-44,COL,00:38:15,00:09:08,00:10:59,17:44:41,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
61,Melanie Thompson,1326,F40-44,USA,00:33:16,00:06:55,00:06:46,17:44:40,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
122,Michael Benefield,3141,M50-54,USA,00:35:01,00:04:35,00:03:54,17:44:31,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
56,Michelle Majercin,1480,F45-49,CAN,00:31:38,00:04:06,00:03:35,17:44:21,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
57,Anna Kaiser,1455,F45-49,POL,00:34:52,00:04:27,00:05:09,17:44:17,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
63,James Campbell,631,M55-59,USA,00:34:07,00:03:18,00:03:59,17:44:13,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
38,Lorien Abbey,1581,F50-54,USA,00:33:06,00:06:00,00:03:47,17:44:10,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
6,Cassidy Rindge,817,F18-24,USA,00:26:05,00:03:47,00:03:07,17:44:09,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
180,Bryan Carr,2510,M40-44,USA,00:36:48,00:03:47,00:04:00,17:44:05,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
62,Katie Diehl,1192,F40-44,USA,00:30:25,00:07:51,00:06:42,17:44:04,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
137,Jonathan Kisch,2325,M35-39,USA,00:42:25,00:03:29,00:02:52,17:44:03,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
124,William Pettis,2154,M30-34,USA,00:31:38,00:04:18,00:02:59,17:43:51,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
61,Michelle Clark,110,F35-39,USA,00:39:22,00:03:38,00:05:07,17:43:49,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
57,Sean Fitzgerald,1932,M25-29,USA,00:33:47,00:04:28,00:04:25,17:43:47,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
62,Courtney Adler,1004,F35-39,USA,00:33:05,00:04:48,00:06:13,17:43:47,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
63,Anna Stankiewicz,802,F35-39,USA,00:34:50,00:04:28,00:02:50,17:43:38,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
