Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
180,Nigel Nicholls,268,M 45,GBR,00:00:00,05:49:06,04:47:25,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
220,Michael Götten,1338,M 35,GER,00:00:00,06:03:13,04:38:10,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
47,Andreas Bock,312,M 55,GER,00:00:00,05:40:19,05:11:56,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
48,Knut Welzel,553,M 55,GER,00:00:00,06:13:47,04:27:05,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
159,Patrick Schillkowski,1194,M 30,GER,00:00:00,06:28:02,04:11:20,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
181,Alexey Nikiforov,2059,M 45,RUS,00:00:00,05:36:01,05:07:52,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
215,Sebastian Spörer,1818,M 40,GER,00:00:00,06:16:05,04:38:56,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
21,Orsolya Dr. Varga,641,F 30,HUN,00:00:00,06:17:17,04:38:33,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
160,Dian Kirov,1118,M 30,BUL,00:00:00,06:13:45,04:36:18,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
161,Dmitry Matveev,1150,M 30,RUS,00:00:00,06:09:15,04:21:38,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
90,Roger Lloret Cabot,954,M 25,ESP,00:00:00,05:57:38,05:05:22,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
