Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
42,Robert Mueller,2283,M 50-54,USA,05:14:05,04:26:20,09:53:25,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
81,Andrew Parlock,2031,M 45-49,USA,05:01:10,04:39:46,09:53:33,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
82,Brent Wiltshire,2672,M 45-49,USA,05:13:05,04:35:14,09:53:35,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
94,Quentin Cummings,1411,M 35-39,USA,05:03:54,04:38:21,09:53:36,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
15,Allen Closser,2372,M 55-59,USA,05:14:01,04:30:21,09:53:57,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
52,Eamon Devine,1260,M 30-34,USA,05:01:52,04:41:23,09:54:08,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
9,Shannon Gaine,498,F 25-29,USA,05:35:28,04:10:45,09:54:11,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
12,Elyse Sitomer,899,F 45-49,USA,05:10:02,04:38:17,09:54:13,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
16,Jeff Ogorman,2434,M 55-59,USA,05:00:08,04:43:24,09:54:21,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
83,Ricardo DAmico,256,M 45-49,BRA,04:34:31,05:11:29,09:54:42,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
53,Brett Davidson,1256,M 30-34,USA,04:59:37,04:44:08,09:54:50,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
54,Bryan Davidson,1257,M 30-34,USA,04:59:42,04:45:49,09:54:54,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
43,Dennis Mix,2273,M 50-54,USA,05:17:08,04:25:23,09:55:02,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
84,Joseph Vida,2110,M 45-49,USA,05:27:18,04:08:47,09:55:06,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
55,Juan Murillo Herrera,1311,M 30-34,CRI,05:15:22,04:30:00,09:55:07,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
85,Armando Garcia,398,M 45-49,BRA,05:31:24,04:18:27,09:55:07,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
78,Vit Miska,1722,M 40-44,USA,05:12:59,04:22:26,09:55:20,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
17,Bernard Maillet,2416,M 55-59,CAN,05:10:56,04:33:50,09:55:23,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
44,Attila Kelemen,2237,M 50-54,USA,04:59:04,04:34:00,09:55:26,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
86,Stéphane NIETO,2026,M 45-49,FRA,04:55:36,04:51:58,09:55:36,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
45,Ryan Cornell,1132,M 25-29,USA,05:35:18,04:13:15,09:55:44,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
87,Walter Gannon,1923,M 45-49,USA,05:02:03,04:43:01,09:56:11,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
79,Jonathan Cunningham,1628,M 40-44,USA,05:15:47,04:26:25,09:56:12,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
18,Patrick Bandy,2360,M 55-59,USA,05:18:46,04:23:35,09:56:18,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
10,caitlin martin,307,F 25-29,USA,05:24:32,04:26:59,09:56:25,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
11,April Rezendes,583,F 30-34,USA,05:21:25,04:27:31,09:56:30,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
